name,isin,url,is_closed
HSBC Balanced IC Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/JUZB/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
HSBC Corporate Bond C Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GTNE/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Royal London Sustainable Diversified Trust C Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GVWE/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Royal London Sustainable Leaders Trust C Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GVVX/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
