name,isin,url,open
EdenTree Sustainable Global Equity B Dis GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/FR59/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
EdenTree Sustainable Managed Income B Dis GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/A195/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
EdenTree Sustainable Sterling Bond B Dis GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/BGR8/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
EdenTree Sustainable UK Equity B Dis GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/JG02/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
EdenTree Sustainable UK Equity Opportunities B Dis GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/FR61/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Evelyn MM Endurance Balanced B Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/G1OB/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Evelyn MM Global Investment B Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GM3A/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Federated Hermes Asia ex-Japan Equity F Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GVYW/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Federated Hermes Asia ex-Japan Equity F Hedged Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/KHKK/O/?specialunittype=CHDG&priipproductcode=17200457&RangeCode=17200457,True
Federated Hermes Asia ex-Japan Equity F2 Dis GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GVYV/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Federated Hermes Asia ex-Japan Equity F2 Hedged Dis GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/JVYV/O/?specialunittype=CHDG&priipproductcode=17200457&RangeCode=17200457,True
Federated Hermes Global Emerging Markets Equity F Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/0H9M/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Federated Hermes Global Emerging Markets Equity F Hedged Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/JSRD/O/?specialunittype=CHDG&priipproductcode=17200457&RangeCode=17200457,True
Federated Hermes Global Equity ESG Pathway F Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/KF2X/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Federated Hermes US SMID Equity F Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GSAH/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Federated Hermes US SMID Equity F Dis GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GSAG/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Federated Hermes US SMID Equity F Hedged Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/JZ4S/O/?specialunittype=CHDG&priipproductcode=17200457&RangeCode=17200457,True
Federated Hermes US SMID Equity F2 Hedged Inc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/KS8W/O/?specialunittype=CHDG&priipproductcode=17200457&RangeCode=17200457,True
Fidelity America W GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/K5LG/DC/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity American Special Situations W Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GMUH/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity American W Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GMTW/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Asia Equity ESG W Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/K5LW/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Asia Pacific Opportunities W Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/KS4N/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Asia W Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GMUE/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Asian Dividend W Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/JE9M/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Asian Dividend W Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/JE9N/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Asian Smaller Companies Y Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/0M9D/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Asian Special Situations A GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/D992/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity China Focus Y GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/MEZ2/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity China W Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GMTP/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Emerging Asia W GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/K5LK/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Emerging Markets I Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/FI19/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Emerging Markets W Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/JAZJ/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Emerging Markets W Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/K5LJ/DC/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Enhanced Income W Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/G7FB/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Enhanced Income W Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GMTR/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Enhanced Income W Monthly Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/N0HJ/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Euro Ultra Short Duration Bond Y GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/F7EX/DC/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity European Dynamic Growth W GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/K5LI/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity European W Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/JTXX/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity European W Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GMTV/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Global Consumer Brands W GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/K5LH/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fidelity Global Demographics Fund Y Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/0VV7/DC/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
