name,isin,url,is_closed
7IM AAP Adventurous C Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/BFB9/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
7IM AAP Adventurous C Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/BFB8/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
EdenTree Sustainable Global Equity B Dis GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/FR59/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
EdenTree Sustainable Managed Income B Dis GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/A195/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
L&G Active Short Dated Sterling Corporate Bond I Dist,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GTPT/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
L&G Active Sterling Corporate Bond I Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/LT88/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Royal London Sustainable Diversified Trust C Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GVWE/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Royal London Sustainable Leaders Trust C Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GVVX/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
