name,isin,url,open
First Sentier Global Listed Infrastructure B Inc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/A6X4/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
First Sentier Global Property Securities B Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/G999/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
First Sentier Global Property Securities B GBP Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/G997/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Fortem Capital Dynamic Growth A GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/KYXE/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Apollo Multi Asset Adventurous F GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/A05L/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Apollo Multi Asset Balanced F GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GYS8/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Apollo Multi Asset Cautious F GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GYT3/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Imperium Balanced A Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/NP5A/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Imperium Cautious A Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/NP5C/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Imperium Growth A Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/NP5G/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Imperium Strategic Income A Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/NP5J/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Russell Investments Defensive Assets C Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/HZO4/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Russell Investments Defensive Assets C Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/HZO3/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Russell Investments International Growth Assets C Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/HZP6/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Russell Investments International Growth Assets C Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/HZP5/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Russell Investments Multi Asset Growth III C Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GRPD/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Russell Investments Multi Asset Growth III C Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GRPC/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Russell Investments Real Assets C Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/HUX6/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Russell Investments Real Assets C Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/HUX5/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Russell Investments UK Growth Assets C Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/HZP0/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP Russell Investments UK Growth Assets C Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/HZO9/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP WHEB Sustainability Impact C Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GO2Q/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FP WHEB Sustainability Impact C Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/JZRY/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Franklin India W Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/G26T/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Franklin Sustainable Global Growth W Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/G26U/DC/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FSSA Global Emerging Markets Focus E Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/PBNJ/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FSSA Greater China Growth B Acc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/QI57/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FTF ClearBridge Global Infrastructure Income W Inc GBP,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/YO8Q/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FTF ClearBridge UK Equity Income W Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/G25P/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FTF ClearBridge UK Equity Income W Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/G25O/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FTF ClearBridge UK Managers' Focus W Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/G25R/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FTF ClearBridge UK Mid Cap W Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/G25T/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FTF ClearBridge UK Mid Cap W Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GRYE/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FTF ClearBridge UK Rising Dividends W Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/G25L/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
FTF ClearBridge UK Rising Dividends W Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/M3SR/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
