name,isin,url,is_closed
BlackRock US Dynamic D Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GTZY/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
BlackRock US Mid-Cap Value D Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GTZZ/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Liontrust Balanced C Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GQKV/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
Liontrust Balanced C Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/GQKX/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
WS Keyridge Portfolio III C Inc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/JL8R/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
WS Keyridge Portfolio IV C Acc,,https://digital.feprecisionplus.com/Pdf/chelseafinancial/en-gb/chelsea/JL9A/O/?specialunittype=ORDN&priipproductcode=17200457&RangeCode=17200457,True
